Input file size (Bytes),Latency,Throughput (Bytes/sec)
27888896,51,546841
27888896,64,435764
27888896,50,557778
27888896,50,557778
27888896,57,489279
27888896,51,546841
27888896,54,516461
27888896,50,557778
27888896,55,507071
27888896,53,526206
27888896,52,536325
27888896,51,546841
27888896,47,593381
27888896,51,546841
27888896,586,47592
27888896,53,526206
27888896,50,557778
27888896,56,498016
27888896,52,536325
27888896,50,557778
27888896,50,557778
27888896,52,536325
27888896,54,516461
27888896,55,507071
27888896,49,569161
27888896,50,557778
27888896,53,526206
27888896,52,536325
